EmployeeID,Name,Age,Gender,Department,Salary,Experience,City
1002,Employee_2,44,Male,Marketing,20239,13,Chennai
1003,Employee_3,41,Male,Marketing,32314,25,Mumbai
1004,Employee_4,39,Female,Finance,34443,7,Mumbai
1005,Employee_5,60,Female,Finance,91270,25,Chennai
1006,Employee_6,59,Male,Sales,97290,34,Chennai
1007,Employee_7,51,Female,Marketing,30612,21,Chennai
1008,Employee_8,46,Female,IT,77859,11,Pune
1009,Employee_9,48,Male,IT,46701,12,Chennai
1010,Employee_10,39,Female,Finance,94161,12,Chennai
1011,Employee_11,20,Male,IT,30578,32,Bangalore
1012,Employee_12,46,Female,Finance,64241,15,Bangalore
1013,Employee_13,29,Male,Sales,22037,30,Bangalore
1014,Employee_14,46,Male,Sales,76296,22,Delhi
1015,Employee_15,32,Male,IT,52783,14,Pune
1016,Employee_16,48,Female,Sales,35174,19,Bangalore
1017,Employee_17,42,Male,Sales,99202,22,Bangalore
1018,Employee_18,60,Male,HR,68617,31,Pune
1019,Employee_19,53,Female,HR,67029,34,Chennai
1020,Employee_20,55,Female,IT,33271,21,Mumbai
1021,Employee_21,41,Female,Marketing,42180,28,Mumbai
1022,Employee_22,34,Female,IT,21794,30,Chennai
1023,Employee_23,47,Female,IT,35168,22,Chennai
1024,Employee_24,24,Male,HR,88603,35,Mumbai
1025,Employee_25,58,Female,Finance,61413,3,Delhi
1026,Employee_26,59,Female,IT,68543,11,Mumbai
1027,Employee_27,27,Male,IT,62785,34,Chennai
1028,Employee_28,41,Male,IT,58812,15,Delhi
1029,Employee_29,23,Male,Finance,31877,3,Mumbai
1030,Employee_30,55,Male,Sales,95633,11,Chennai
1031,Employee_31,22,Male,Marketing,71480,5,Chennai
1032,Employee_32,59,Female,Finance,57434,6,Mumbai
1033,Employee_33,33,Female,IT,24454,22,Mumbai
1034,Employee_34,51,Male,HR,27206,9,Mumbai
1035,Employee_35,43,Female,Marketing,89040,26,Chennai
1036,Employee_36,25,Female,Marketing,25437,1,Pune
1037,Employee_37,34,Male,IT,66444,18,Pune
1038,Employee_38,27,Male,IT,86248,15,Bangalore
1039,Employee_39,27,Male,HR,86069,16,Pune
1040,Employee_40,22,Female,HR,23578,15,Bangalore
1041,Employee_41,42,Male,Finance,83116,0,Pune
1042,Employee_42,23,Female,Sales,40123,18,Chennai
1043,Employee_43,50,Female,Marketing,66745,30,Chennai
1044,Employee_44,23,Female,Marketing,98387,33,Bangalore
1045,Employee_45,41,Male,IT,26016,23,Mumbai
1046,Employee_46,51,Female,Finance,36819,21,Delhi
1047,Employee_47,32,Female,Marketing,76045,6,Delhi
1048,Employee_48,25,Male,Finance,94082,31,Chennai
1049,Employee_49,51,Male,Marketing,89789,27,Bangalore
1050,Employee_50,44,Female,Finance,94743,4,Bangalore
1051,Employee_51,22,Female,HR,88573,10,Mumbai
1052,Employee_52,24,Female,Sales,77468,29,Mumbai
1053,Employee_53,50,Female,IT,26187,23,Chennai
1054,Employee_54,57,Male,HR,35961,18,Chennai
1055,Employee_55,29,Female,IT,27137,32,Chennai
1056,Employee_56,37,Male,HR,64798,12,Mumbai
1057,Employee_57,45,Female,Finance,55371,34,Bangalore
1058,Employee_58,45,Female,Sales,67770,13,Pune
1059,Employee_59,28,Female,IT,64586,19,Mumbai
1060,Employee_60,38,Male,Marketing,46535,0,Bangalore
1061,Employee_61,30,Female,Marketing,95829,22,Delhi
1062,Employee_62,28,Male,HR,78981,25,Bangalore
1063,Employee_63,37,Male,Sales,69308,15,Delhi
1064,Employee_64,28,Male,Marketing,69719,7,Delhi
1065,Employee_65,36,Female,Marketing,32475,12,Pune
1066,Employee_66,21,Male,Sales,97205,16,Delhi
1067,Employee_67,30,Male,IT,93678,10,Bangalore
1068,Employee_68,57,Male,Marketing,93298,11,Delhi
1069,Employee_69,22,Female,Finance,47974,26,Chennai
1070,Employee_70,41,Male,Sales,42770,32,Pune
1071,Employee_71,32,Male,Sales,85261,7,Pune
1072,Employee_72,36,Male,IT,34249,12,Bangalore
1073,Employee_73,48,Male,Marketing,44807,9,Bangalore
1074,Employee_74,33,Female,Sales,59474,13,Mumbai
1075,Employee_75,34,Female,Sales,53882,10,Chennai
1076,Employee_76,52,Male,IT,27090,31,Bangalore
1077,Employee_77,38,Female,Finance,54155,12,Pune
1078,Employee_78,45,Female,Finance,58735,3,Mumbai
